,Unnamed: 0,movie_name,index,utterance,count_utterances,tag,MANUAL,we_label_fox_news,we_label_twitter,bert_label_twitter,bert_label_fox_news,lstm_label_twitter,lstm_label_fox_news,hate_keyword_count,hate_keyword_count_unique,hate_keyword,hate_keyword_sources,combined_results,combined_normlized,keyword_count_formular
162185,162185,BlacKkKlansman,0,Dr. Meade!,2539,hate_speech,,0,1,0,0,1,0,0,0,[],[],2,0.15,0
162186,162186,BlacKkKlansman,1,"Oh, can you help me find Dr. Meade?",2539,hate_speech,,0,0,0,0,1,0,0,0,[],[],1,0.08,0
162187,162187,BlacKkKlansman,2,"God, help us.",2539,hate_speech,,2,0,1,0,0,0,0,0,[],[],3,0.23,0
162188,162188,BlacKkKlansman,3,"God, save the Confederacy!",2539,hate_speech,,0,1,0,0,1,2,0,0,[],[],4,0.31,0
162189,162189,BlacKkKlansman,4,"Hello, my fellow Americans.",2539,hate_speech,,0,0,0,0,0,0,0,0,[],[],0,0,0
162190,162190,BlacKkKlansman,5,They say we may have lost the battle but we didn't lose the war.,2539,hate_speech,,0,0,0,0,1,0,0,0,[],[],1,0.08,0
162191,162191,BlacKkKlansman,6,"Yes, my friends, we are under attack.",2539,hate_speech,,0,1,0,0,0,0,0,0,[],[],1,0.08,0
162192,162192,BlacKkKlansman,7,You may have read about this in your local newspapers or seen it on the evening news.,2539,hate_speech,,0,0,0,0,1,0,0,0,[],[],1,0.08,0
162193,162193,BlacKkKlansman,8,That's right.,2539,hate_speech,,0,1,0,0,1,0,0,0,[],[],2,0.15,0
162194,162194,BlacKkKlansman,9,We are living in an era marked by the spread of integration and miscegenation.,2539,hate_speech,,2,1,0,0,0,0,0,0,[],[],3,0.23,0
162195,162195,BlacKkKlansman,10,The Brown decision.,2539,hate_speech,,0,0,0,0,0,0,0,0,[],[],0,0,0
162196,162196,BlacKkKlansman,11,Ahahah!,2539,hate_speech,,0,1,0,0,1,0,0,0,[],[],2,0.15,0
162197,162197,BlacKkKlansman,12,"The Brown decision, forced upon us by the Jewishcontrolled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin...",2539,hate_speech,2,2,0,0,2,1,2,1,1,['white'],['twitter'],8,0.62,1
162198,162198,BlacKkKlansman,13,Is the final nail in a black coffin towards America becoming a mongrel nation.,2539,hate_speech,2,0,2,0,2,1,0,1,1,['black'],['twitter'],6,0.46,1
162199,162199,BlacKkKlansman,14,We had a great way of life. We had...,2539,hate_speech,,2,0,0,0,1,0,0,0,[],[],3,0.23,0
162200,162200,BlacKkKlansman,15,"Ma, ma, ma, ma, ma!",2539,hate_speech,,0,1,1,0,1,0,0,0,[],[],3,0.23,0
162201,162201,BlacKkKlansman,16,We had a great way of life.,2539,hate_speech,,2,0,0,0,1,0,0,0,[],[],3,0.23,0
162202,162202,BlacKkKlansman,17,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.,2539,hate_speech,2,2,0,2,2,1,0,1,1,['white'],['twitter'],8,0.62,1
162203,162203,BlacKkKlansman,18,Do you really want your precious white child going to school with Negroes?,2539,hate_speech,2,0,1,2,2,1,0,1,1,['white'],['twitter'],7,0.54,1
162204,162204,BlacKkKlansman,19,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men.",2539,hate_speech,2,2,1,2,2,1,0,1,1,['white'],['twitter'],9,0.69,1
162205,162205,BlacKkKlansman,20," Oh, my God.",2539,hate_speech,,0,1,1,0,1,0,0,0,[],[],3,0.23,0
162206,162206,BlacKkKlansman,21," Rapists, murderers, craving the virgin white...",2539,hate_speech,2,2,1,1,0,1,0,1,1,['white'],['twitter'],6,0.46,1
162207,162207,BlacKkKlansman,22," Is it ""virgin pure""?",2539,hate_speech,1,0,1,0,2,1,0,0,0,[],[],4,0.31,0
162208,162208,BlacKkKlansman,23, Yes.,2539,hate_speech,,0,0,0,0,1,0,0,0,[],[],1,0.08,0
