,dialog,label_word_embedding_fox_news
0,"Thank you very much, sir.",not hate speech
1,You did a wonderful job. Wonderful.,not hate speech
2,Shh. Shh.,not hate speech
3,"We did it, Pete. We did it.",not hate speech
4," For a moment, we had our doubts.",hate speech
5, Shh.,not hate speech
6,"To continue, you've listened to a long and complex case...",hate speech
7,murder in the first degree.,hate speech
8,A premeditated murder is the most serious charge tried in our criminal courts.,hate speech
9,You've listened to the testimony.,not hate speech
10,You've had the law read to you and interpreted as it applies in this case.,not hate speech
11,It's now your duty to sit down and try and separate the facts from the fancy.,not hate speech
12,One man is dead.,hate speech
13,Another man's life is at stake.,not hate speech
14,If there's a reasonable doubt in your minds as to the guilt of the accused...,hate speech
15,a reasonable doubt...,hate speech
16,then you must bring me a verdict of not guilty.,hate speech
17,"Now if, however, there's no reasonable doubt...",hate speech
18,then you must in good conscience find the accused guilty.,not hate speech
19,"However you decide, your verdict must be unanimous.",not hate speech
20,In the event that you find the accused guilty...,hate speech
21,the bench will not entertain a recommendation for mercy.,hate speech
22,The death sentence is mandatory in this case.,not hate speech
23,You're faced with a grave responsibility.,not hate speech
24,"Thank you, gentlemen.",not hate speech
25,The alternate jurors are excused.,hate speech
26,The jury will now retire.,not hate speech
27,Try this one. See if I can get it...,not hate speech
28,It's a muggy day.,not hate speech
29,"Hey. Oh, oh.",not hate speech
30, Piece of gum?,not hate speech
31," No, thanks.",not hate speech
32,This thing is...,not hate speech
33, Huh?,not hate speech
34, ...move it.,not hate speech
35," Come on, I'll give you a hand.",not hate speech
36, Give me a hand with that.,not hate speech
37,That's it.,not hate speech
38, You know something?,not hate speech
39, Yeah?,not hate speech
40,I called the weather bureau this morning.,not hate speech
41,This is gonna be the hottest day of the year.,not hate speech
42,Could be.,not hate speech
43,"Boy, you'd think they'd at least aircondition these places.",not hate speech
44," What is your name, sir?",not hate speech
45," Oh, it's, uh  That one, yeah.",not hate speech
46,Thank you very much.,not hate speech
47,"Okay, gentlemen, everybody's here.",not hate speech
48,"Now, if there's anything you want, I'll be right outside the door.",not hate speech
49, Just knock.,not hate speech
50," Okay, thanks. We will.",not hate speech
51,Good morning.,not hate speech
52,I never knew they locked the door.,hate speech
53,Sure they lock the door.,not hate speech
54,What'd you think?,not hate speech
55,I don't know.,not hate speech
56,It just never occurred to me.,not hate speech
57,What's that for?,not hate speech
58,"Oh, I thought we might want to vote by ballot.",hate speech
59,Great idea. Maybe we can get him elected senator.,not hate speech
60,"Just in case, you know.",not hate speech
61, Îow'd you like it?,not hate speech
62," Oh, I don't know.",not hate speech
63,It was pretty interesting.,not hate speech
64,Yeah? I almost fell asleep.,hate speech
65,"I mean, I've never been on a jury before.",not hate speech
66,No? I've sat on many juries.,not hate speech
67,What gets me is the way those lawyers talk and talk and talk...,not hate speech
68,even when it's an openandshut case like this one.,hate speech
69,Did you ever hear so much talk about nothin'?,not hate speech
70,"Well, I guess they're entitled.",not hate speech
71,Yeah. They're entitled.,not hate speech
72,"It's the system, but...",not hate speech
73,"If you ask me, I'd slap those tough kids down before they start any trouble.",not hate speech
74,It would save us a lot of time and money.,not hate speech
75," Hey, let's get started, huh?",not hate speech
76, That's a good idea.,not hate speech
77," Yeah, let's get goin', huh?",not hate speech
78, We probably all got things to do here.,not hate speech
79,I figured we'd start out with a fiveminute break.,not hate speech
80,There's one gentleman in the bathroom.,not hate speech
81, Mr. Foreman.,hate speech
82, Huh?,not hate speech
83," Are, uh  Are we gonna sit in order?",not hate speech
84," Gee, I don't know.",hate speech
85,"I, uh  Well, I guess so.",not hate speech
86,"Uh, you're in my seat.",not hate speech
87, Oh. Excuse me.,not hate speech
88, That's all right.,not hate speech
89,"Hey, that's not a bad view, huh?",not hate speech
90,What did you think of the case?,not hate speech
91,"I mean, it had a lot of interest for me.",hate speech
92,No real... dead spots.,hate speech
93,You know what I mean?,not hate speech
94,"I tell you, we were lucky to get a murder case.",hate speech
95,I figured us for an assault or burglary.,not hate speech
96,"Boy, they can be the dullest.",not hate speech
97,Hey.,not hate speech
98,That the Woolworth Building?,hate speech
99,That's right.,not hate speech
100,Isn't that funny?,hate speech
101,"You know, I've lived here all my life.",not hate speech
102,I've never been inside that.,not hate speech
103,If you had to sort out all that junk...,hate speech
104,Like that thing with the movies.,hate speech
105, Yeah. You can say that again.,not hate speech
106, And what about that business with the knife?,hate speech
107,"I mean, asking grownup people to believe that kind of jazz, huh?",not hate speech
108,"Well, I expected that.",not hate speech
109,You know what we're dealing with.,hate speech
110,"Yeah, I guess so.",not hate speech
111,"Well, your horn works.",hate speech
112,Now try your lights.,not hate speech
113," What do you got, a cold?",not hate speech
114, And how.,not hate speech
115,These hotweather colds can kill you.,not hate speech
116,I can hardly touch my nose.,not hate speech
117,You know what I mean?,not hate speech
118,I sure do. I just got over one.,not hate speech
119,"Aw, come on. Mr.",not hate speech
120,"Foreman, let's go here, huh?",not hate speech
121,"Well, that guy's still in the bathroom.",not hate speech
122,"Hey, what's new? I didn't get a chance to see a paper this morning.",hate speech
123,Hmm?,not hate speech
124,I was only wondering how the market closed.,not hate speech
125,You got a seat on the Exchange?,hate speech
126,I'm a broker.,not hate speech
127,I run a messenger service  the Beck and Call Company.,not hate speech
128,The name is my wife's idea.,not hate speech
129,Got 37 men working.,not hate speech
130,Started with nothing.,not hate speech
131,"Okay, men, let's take our seats, huh?",not hate speech
132,"Yeah, we can all get outta here pretty quick, huh?",hate speech
133,"I don't know about the rest of you, but I happen to have tickets to that ball game tonight.",not hate speech
134,Yanks and Cleveland.,hate speech
135,"Yeah, we got this kid, Modjelewski, in there.",hate speech
136,"Ooh, he's a real bull, this kid.",not hate speech
137,You know  Phoom!,not hate speech
138,A real jug handle. You know?,not hate speech
139,Phoom!,not hate speech
140,"You're a real baseball fan, aren't you?",not hate speech
141,Huh? Yeah.,not hate speech
142,Where do we sit here?,hate speech
143,"Well, I thought we'd sit in order, you know, by jury numbers.",not hate speech
144,"One, two, three, four, five  so on, around the table.",not hate speech
145,If that's okay with you gentlemen.,not hate speech
146, Sure.,not hate speech
147, What's the difference?,not hate speech
148, I think it's reasonable to sit in order.,hate speech
149, Let it be.,not hate speech
150, Number 12. Do I sit down here?,not hate speech
151, Yeah. That's 12. We go around...,hate speech
152," We start with you. One, right?",not hate speech
153," One, yeah. Two, three, four, five, six.",not hate speech
154,What was your impression of the prosecuting attorney?,not hate speech
155,Okay. Two. You're two.,not hate speech
156,I beg pardon?,hate speech
157,"I thought he was really sharp, the way he handled all those points one by one.",hate speech
158,Logical sequence.,not hate speech
159,I was very impressed.,not hate speech
160,I think he  he did an expert job.,not hate speech
161,"A lot of drive too, you know?",hate speech
162,Real drive.,not hate speech
163," Okay, fellas, can we hold it down a minute?",not hate speech
164, Sure.,not hate speech
165,"Uh, fellas.",not hate speech
166,"Say, we'd like to get started.",hate speech
167,Gentleman at the window.,hate speech
168, We'd like to get started.,hate speech
169," Oh, I'm sorry.",not hate speech
170,"Pretty tough to figure, isn't it?",not hate speech
171,"Kid kills his father  bing, just like that.",not hate speech
172,"Aw, listen, you analyze the figures, you'll see it happens all the time.",not hate speech
173,They let those kids run wild up there.,hate speech
174,"Well, maybe it serves 'em right.",hate speech
175,You know what I mean?,not hate speech
176,Is  Is everyone here?,not hate speech
177,The old man is inside.,hate speech
178,"Oh. Would you, uh, knock on the door for him?",not hate speech
179,You a Yankee fan?,not hate speech
180,No. Baltimore.,hate speech
181, Baltimore?,not hate speech
182, Yeah.,not hate speech
183,That's like being hit in the head with a crowbar once a day.,hate speech
184,Who have they got?,hate speech
185,"No, I mean, who have they got besides good groundskeepers?",not hate speech
186,"Say, uh, we'd like to get started.",hate speech
187,"Oh, forgive me, gentlemen.",not hate speech
188,I  I didn't mean to keep you waiting.,not hate speech
189,Baltimore?,not hate speech
190,"Okay, gentlemen, if I can have your attention.",not hate speech
191,You fellas can handle this thing any way that you want to.,not hate speech
192,"I'm, um  You know, I'm not gonna make any rules.",not hate speech
193,"Uh, we can, well, discuss it first and, uh, then vote on it.",hate speech
194,"That's, of course, uh  That's, uh, one way.",not hate speech
195,"And, uh, well, we can vote on it right now, and...",not hate speech
196,I think it's customary to take a preliminary vote.,hate speech
197,"Yeah, let's  Let's vote. Who knows?",hate speech
198,"Maybe we all can get outta here, huh?",hate speech
199,Uhhuh.,not hate speech
