,dialog,label_word_embedding_fox_news
0,"Them niggas around the corner tripped out, man.",hate speech
1," Fuck that shit, man!",not hate speech
2, Let's go. I'll take my car.,not hate speech
3,"Oh, fuck that. We should've let these niggas have it.",hate speech
4," Just pull up, just pull up.",not hate speech
5," Get your shit ready, nigga.",not hate speech
6,Damn!,not hate speech
7,These niggas here?,hate speech
8,"All right, hold up.",not hate speech
9,"Get ready, get ready.",hate speech
10,"Look out, nigga! What's up, punk?!",hate speech
11,Possible 187 at corner of Crenshaw and Century.,hate speech
12,They shot my brother!,not hate speech
13," Tre, you do your homework?",not hate speech
14, What homework?,not hate speech
15," Yeah, I did it.",not hate speech
16, Can I copy it?,not hate speech
17,"Hell, no. Too bad, you should've done it.",not hate speech
18, Did you hear the shooting last night?,not hate speech
19," Yeah, I got under my bed.",not hate speech
20,"Man, you a scaredycat.",hate speech
21,"My mama say, ""A bullet don't have no name on it."" I ain't afraid. My brothers been shot and they still alive.",not hate speech
22,They lucky.,not hate speech
23,Y'all want to see something?,not hate speech
24,What?,not hate speech
25,I ain't saying what.,not hate speech
26,Want to see it or not?,not hate speech
27,Is that blood?,hate speech
28,What happened?,not hate speech
29,Somebody got smoked.,not hate speech
30,"Look at the hole in the wall, stupid.",hate speech
31,Least I can tell my times tables.,not hate speech
32,Look! Why is the blood turning yellow?,not hate speech
33,That's what happens when it separates from the plasma.,not hate speech
34,So that's how the settlers survived that long hard winter...,hate speech
35,"...that took so many of their lives, is by eating foods...",not hate speech
36,"...that were given to them, like the turkey and the squash...",not hate speech
37,...and all the foods that we think of as our traditional holiday meal.,hate speech
38,And that's why we celebrate Thanksgiving...,not hate speech
39,...to commemorate the unity between the Indians...,not hate speech
40,Excuse me...,not hate speech
41,...the Native Americans.,not hate speech
42, And the early English settlers who were called... Class?,not hate speech
43,Pilgrims.,not hate speech
44,"That's right, the Pilgrims.",not hate speech
45,Very good.,not hate speech
46,The penguins!,not hate speech
47,Who said that?,not hate speech
48, Mr. Styles.,hate speech
49, That's me.,not hate speech
50,How is it you always have something funny to say?,not hate speech
51,Because I'm a comedian.,hate speech
52,Would you like to come up and teach the class?,hate speech
53,"Yeah, I can do that.",not hate speech
54,"Very well, come on up. Instruct us.",not hate speech
55, What's the basis of your lecture?,hate speech
56, What?,not hate speech
57,What are you going to talk about?,not hate speech
58,I'd tell you if you let me talk.,not hate speech
59, What's the name of this place?,not hate speech
60, That's Africa. I know that.,hate speech
61,"Right, that's Africa.",hate speech
62,Did you know that Africa is where the body of the first man was found?,hate speech
63,My daddy says that's where all people originated from.,not hate speech
64,That means everybody's really from Africa. Everybody.,hate speech
65,All y'all. Everybody.,hate speech
66,I ain't from Africa.,hate speech
67,I'm from Crenshaw Mafia!,hate speech
68,"Like it or not, you from Africa.",hate speech
69,I ain't from Africa. You from Africa.,hate speech
70,You African bootyscratcher!,not hate speech
71,Quiet.,not hate speech
72,"Punk, I'll kick your ass.",not hate speech
73,That's enough.,not hate speech
74,Count to 10 and be quiet.,not hate speech
75,I'll get my brother to shoot you!,hate speech
76,"Get your brother, bitch!",hate speech
77,I'll get my daddy. Least I got one.,hate speech
78,I ain't your bitch.,not hate speech
79,"Ain't nobody's bitch, bitch!",not hate speech
80,Are you listening to me?,hate speech
81,"Sit down, now! That's enough!",not hate speech
82,"As I said, he's highly intelligent.",not hate speech
83,He has an enormous vocabulary.,hate speech
84,It's just that...,not hate speech
85,"Yes, go on.",not hate speech
86,It's just that he has a very bad temper.,hate speech
87,It's extremely difficult for him to interact with the other children.,not hate speech
88,Perhaps I could recommend therapy or a child psychologist.,not hate speech
89,"No, thank you.",not hate speech
90,We can manage just fine.,hate speech
91,Is there some problem in the home?,not hate speech
92,Are you employed?,not hate speech
93,That's none of your business...,not hate speech
94,"...but I am employed, and I'm studying for my master's degree.",not hate speech
95, Then you are educated.,hate speech
96, We gonna talk about me or my son?,not hate speech
97,I'm sorry.,not hate speech
98,"Well, we'll be happy to see Tre back in class on Tuesday.",not hate speech
99,"His suspension was only for three days, you know.",not hate speech
100, No. You won't be seeing Tre again.,not hate speech
101," And why is that, may I ask?",not hate speech
102, Tre is going to live with his father.,not hate speech
103, His father?,not hate speech
104,"Yes, his father. Or did you think we made babies by ourselves?",not hate speech
105, You tell her go jump in the lake?,not hate speech
106, What was our agreement?,not hate speech
107,What did we put down in writing?,not hate speech
108,"""l, Tre Styles, being of sound mind and body...",hate speech
109,"...agree not to get into any disputes, physical or verbal...",hate speech
110,...for the rest of the school year.,not hate speech
111,If I do not conform to this...,not hate speech
112,"...I will go to live with my father, Mr. Furious Styles."" ""Signed..."" Oh, now, who wrote this?",not hate speech
113,"""Tre Styles."" You have to work on your handwriting.",not hate speech
114,Bean pies. Worldfamous bean pies.,not hate speech
115,"Like a bean pie, mister?",hate speech
116,I just don't want to see you end up dead.,not hate speech
117,Or in jail.,hate speech
118,"A drunk, standing in front of one of these liquor stores.",hate speech
119,Can you understand?,not hate speech
120,Look at me. I'm serious.,not hate speech
121,I love you.,not hate speech
122,You're my only son.,not hate speech
123,How you doing?,not hate speech
124, I'm fine. How about yourself?,not hate speech
125, I'm living. That's enough for me.,not hate speech
126,"Well, here he is.",hate speech
127, What's the matter? You can't say hi?,not hate speech
128," Hi, Daddy.",not hate speech
129,"Go ahead, talk to your friends.",not hate speech
130," What's up, Tre?",hate speech
131," What's up, Doughboy?",hate speech
132,"Well, there goes your son.",not hate speech
133,"You wanted him, you got him.",not hate speech
134,Why you trying to make this so easy?,not hate speech
135,"Well, it's like you told me: I can't teach him how to be a man.",hate speech
136,That's your job.,not hate speech
137,"So it ain't no weekly thing no more, huh?",not hate speech
138,You staying for good?,not hate speech
139,"Chris, you know Tre, right?",not hate speech
140,"Remember, we were playing ball?",not hate speech
141,Yeah. You the one collect all those comic books.,hate speech
142,You living here now?,not hate speech
143,"Thank you, Reva.",not hate speech
144,Furious.,not hate speech
145, Take care of my baby.,not hate speech
146, He is my baby too.,hate speech
147,You still collect comics?,not hate speech
148,This fool got more comics than a motherfucker.,not hate speech
149," Tre, come here.",not hate speech
150, Watch my stuff.,not hate speech
151,"What up, Tre?",hate speech
152,"What's up, Rick?",hate speech
153,"Well, it looks like you got all your friends over here.",not hate speech
154,When you coming to pick me up?,not hate speech
